 Index   Temp   Variable_0   Variable_1   Variable_2   Variable_3   Variable_4   Variable_5   Variable_6   Variable_7   Variable_8   Variable_9 Objective   Seconds
           1.000           1000.000              0.182              0.353              0.769             17.384             87.679            155.712              0.274             39.456              0.968              3.628            191.569              0.021   
           2.000           1000.000              0.987              0.421              0.315             17.621             90.536            129.298              0.173             44.130              0.358              4.075             -6.600              0.033   
           3.000           1000.000              0.688              0.104              0.206             17.517             91.552            139.875              0.299              4.219              0.918              5.331           -719.476              0.050   
           4.000           1000.000              0.460              0.402              0.254             25.287             59.831            191.511              0.040             46.880              0.688              1.009            169.743              0.055   
           5.000           1000.000              0.445              0.130              0.590             17.813             72.558             54.846              0.132             41.536              0.238              4.187            388.185              0.062   
           6.000           1000.000              0.265              0.286              0.429             26.291             83.179             62.455              0.223             26.944              0.556              5.890            486.785              0.066   
           7.000           1000.000              0.184              0.423              0.177             22.862             96.194            144.123              0.238              6.103              0.013              4.084           -356.591              0.074   
           8.000           1000.000              0.272              0.076              0.095             13.145             80.498             79.934              0.133             39.279              0.499              5.145          -1076.655              0.079   
           9.000           1000.000              0.811              0.499              0.322              8.323             95.847            146.964              0.180             16.057              0.271              1.934            345.698              0.086   
          10.000           1000.000              0.480              0.464              0.139             11.844             79.008             84.424              0.058             21.839              0.438              2.897            347.152              0.091   
          11.000           1000.000              0.959              0.476              0.553             27.712             62.888            137.181              0.045              1.440              0.589              3.131            433.653              0.095   
          12.000           1000.000              0.109              0.267              0.353             28.221             98.275            176.187              0.154             34.607              0.896              1.449             89.646              0.100   
          13.000           1000.000              0.480              0.354              0.117             17.579             73.239             72.628              0.271             22.947              0.870              5.244            534.158              0.112   
          14.000           1000.000              0.761              0.130              0.198             26.578             85.912             93.905              0.138             39.781              0.864              5.916           -364.415              0.121   
          15.000           1000.000              0.571              0.190              0.951              7.983             87.530            175.599              0.048             32.162              0.272              2.199           -318.532              0.128   
          16.000           1000.000              0.431              0.216              0.536             14.557             99.011             84.011              0.078             25.238              0.522              5.287            582.871              0.136   
          17.000           1000.000              0.875              0.352              0.498             25.032             94.013             99.949              0.183             49.601              0.519              4.472           -671.260              0.153   
          18.000           1000.000              0.376              0.084              0.896              9.863             68.865             68.625              0.019              2.527              0.308              4.924            423.650              0.155   
          19.000           1000.000              0.653              0.019              0.613             17.867             51.270            102.249              0.017              0.393              0.302              4.358            484.370              0.158   
          20.000           1000.000              0.837              0.414              0.197              5.419             86.293            190.795              0.243              5.721              0.187              4.136            406.933              0.161   
          21.000           1000.000              0.322              0.385              0.378             12.294             52.894             81.819              0.091             39.925              0.520              4.740            306.523              0.165   
          22.000           1000.000              0.677              0.498              0.068              8.377             75.189            152.537              0.078              4.722              0.290              2.862            385.359              0.171   
          23.000           1000.000              0.535              0.158              0.372              5.270             85.046            165.514              0.044              1.846              0.407              5.440            609.871              0.176   
          24.000           1000.000              0.911              0.491              0.658             24.353             69.301            181.696              0.169              2.228              0.638              2.087            248.610              0.179   
          25.000           1000.000              0.596              0.420              0.272              7.662             72.441            157.798              0.016             26.755              0.603              4.730            437.434              0.186   
          26.000            999.000              0.192              0.256              0.645             29.266             59.067             94.188              0.227             25.449              0.945              1.450            592.187              0.189   
          27.000            999.000              0.368              0.041              0.095             15.820             50.136            122.150              0.187              2.665              0.859              4.604            178.094              0.193   
          28.000            999.000              0.408              0.330              0.521             28.824             62.417            157.200              0.114             36.545              0.368              3.620            413.372              0.198   
          29.000            999.000              0.268              0.059              0.145              8.417             81.716             72.964              0.094             36.277              0.864              2.501             64.040              0.203   
          30.000            999.000              0.894              0.432              0.107             10.285             68.028            159.098              0.095             47.432              0.864              4.534            519.730              0.206   
          31.000            999.000              0.958              0.353              0.634             25.762             90.266            110.106              0.045             30.152              0.365              4.861            304.897              0.213   
          32.000            999.000              0.145              0.215              0.708             13.736             57.003             68.848              0.297              0.426              0.122              4.586          -1169.721              0.216   
          33.000            999.000              0.940              0.402              0.737             21.788             71.512            165.047              0.300             34.969              0.500              4.800          -2350.801              0.219   
          34.000            999.000              0.521              0.295              0.181             24.974             89.636            155.088              0.160             37.224              0.633              3.618            507.042              0.222   
          35.000            999.000              0.496              0.042              0.718             27.142             65.980            146.927              0.146             12.282              0.258              4.941            121.164              0.225   
          36.000            999.000              0.258              0.295              0.300             13.364             94.889            104.353              0.026              7.749              0.032              4.264             80.446              0.235   
          37.000            999.000              0.486              0.165              0.976             28.753             55.451            163.993              0.296              3.244              0.848              4.926           -215.843              0.237   
          38.000            999.000              0.846              0.123              0.727              9.862             68.600            161.510              0.126             10.703              0.315              3.835           -797.663              0.242   
          39.000            999.000              0.422              0.183              0.836              6.924             69.454            126.486              0.257              0.743              0.827              3.680            547.650              0.245   
          40.000            999.000              0.117              0.275              0.244             24.057             99.621             74.264              0.243             47.164              0.958              5.498           -542.307              0.248   
          41.000            998.000              0.433              0.193              0.009             15.102             59.947            146.604              0.118             35.776              0.304              2.100            313.164              0.252   
          42.000            998.000              0.264              0.423              0.965             27.162             62.086            129.771              0.010             49.376              0.730              4.490           -412.603              0.255   
          43.000            998.000              0.718              0.386              0.162             28.071             85.231            156.449              0.224             10.619              0.808              5.414            450.989              0.259   
          44.000            998.000              0.144              0.319              0.024             17.829             83.403             76.344              0.217              4.091              0.232              3.659          -2690.608              0.262   
          45.000            998.000              0.205              0.490              0.652             27.460             70.083            176.163              0.212             11.041              0.892              5.667           -185.841              0.265   
          46.000            998.000              0.356              0.154              0.058              9.758             83.317            188.574              0.026              0.966              0.582              5.846            339.277              0.271   
          47.000            998.000              0.972              0.209              0.541             22.293             60.648            169.783              0.042             44.011              0.683              5.377            248.777              0.275   
          48.000            998.000              0.393              0.354              0.671             26.768             60.382             59.423              0.126             32.242              0.521              3.175            535.506              0.279   
          49.000            998.000              0.353              0.435              0.855             26.574             50.423            180.304              0.238             29.966              0.063              4.837            377.458              0.283   
          50.000            998.000              0.719              0.028              0.428              6.792             70.112             74.094              0.268             38.986              0.967              2.073          -1765.386              0.286   
          51.000            998.000              0.676              0.009              0.009             17.782             50.820             56.096              0.280              1.894              0.802              1.401           -641.064              0.288   
          52.000            998.000              1.000              0.354              0.282              8.479             63.223            162.353              0.002              2.197              0.453              5.814            559.524              0.291   
          53.000            998.000              0.252              0.389              0.821             11.285             58.483             91.008              0.040             33.925              0.352              1.220           -543.901              0.294   
          54.000            998.000              0.639              0.053              0.352             12.509             94.012            146.557              0.288             26.345              0.676              2.617          -1108.843              0.296   
          55.000            998.000              0.853              0.009              0.624             19.888             89.449            199.418              0.030             45.376              0.969              5.027             64.952              0.299   
          56.000            997.000              0.512              0.152              0.030             22.051             93.461            179.353              0.039             28.587              0.634              1.399           -213.097              0.302   
