 Index   Temp   Variable_0   Variable_1   Variable_2   Variable_3   Variable_4   Variable_5   Variable_6   Variable_7   Variable_8   Variable_9 Objective   Seconds
           1.000           1000.000              0.913              0.328              0.573             19.354             62.528            132.529              0.145             49.993              0.669              5.497           -494.764              0.031   
           2.000           1000.000              0.118              0.035              0.549             11.929             90.428            176.811              0.048             24.504              0.799              4.362          -1656.870              0.039   
           3.000           1000.000              0.875              0.446              0.345             17.159             93.645             57.240              0.170             39.925              0.166              5.575           -417.271              0.043   
           4.000           1000.000              0.437              0.450              0.868             23.073             86.698            131.706              0.188             24.954              0.909              5.741            593.873              0.050   
           5.000           1000.000              0.310              0.424              0.641             24.643             62.363            123.137              0.167             20.297              0.338              1.471            -32.667              0.056   
           6.000           1000.000              0.712              0.429              0.595             16.484             92.374             81.960              0.251             14.753              0.954              5.578             45.461              0.061   
           7.000           1000.000              0.579              0.184              0.902             28.068             78.270            129.178              0.237             30.789              0.461              3.221           -952.561              0.064   
           8.000           1000.000              0.583              0.199              0.898             19.770             74.368             85.406              0.112             39.713              0.271              1.026           -501.029              0.072   
           9.000           1000.000              0.516              0.245              0.141              8.987             81.666            126.290              0.164             39.245              0.589              5.233            465.370              0.076   
          10.000           1000.000              0.457              0.217              0.831             13.502             65.326            173.592              0.147             25.696              0.639              5.058            558.190              0.087   
          11.000           1000.000              0.357              0.484              0.263              6.844             55.066            141.283              0.246             34.475              0.738              4.104            395.666              0.094   
          12.000           1000.000              0.366              0.458              0.966             27.217             52.184            139.157              0.090             39.492              0.779              1.807            225.819              0.101   
          13.000           1000.000              0.929              0.076              0.010             29.493             75.181             63.650              0.005             18.500              0.232              3.721           -246.149              0.113   
          14.000           1000.000              0.432              0.273              0.265             12.169             51.532            123.686              0.277              1.924              0.265              3.121            481.530              0.118   
          15.000           1000.000              0.429              0.455              0.809             15.746             79.609            125.786              0.051             10.214              0.958              2.130             95.895              0.121   
          16.000           1000.000              0.641              0.165              0.639             14.943             76.671            190.280              0.166              6.827              0.622              3.066             24.963              0.125   
          17.000           1000.000              0.358              0.211              0.009             29.481             76.456            133.340              0.179             45.419              0.771              5.492            422.462              0.129   
          18.000           1000.000              0.372              0.062              0.519             25.545             94.174             84.189              0.096             48.133              0.872              3.583            585.743              0.135   
          19.000           1000.000              0.674              0.377              0.082             10.316             57.763            113.566              0.166             26.908              0.179              2.527            467.121              0.138   
          20.000           1000.000              0.632              0.349              0.032             14.745             54.697             53.270              0.184             41.004              0.238              5.366            493.989              0.141   
          21.000           1000.000              0.846              0.347              0.006             22.047             99.246            148.338              0.175             35.823              0.638              1.405           -262.608              0.144   
