       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           0.188             0.188             0.000             0.000           223.249            19.860            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.226             0.226             0.000             0.000           223.023            19.634            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.264             0.264             0.000             0.000           222.760            19.371            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.264             0.264             0.000             0.000           222.496            19.107            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.301             0.301             0.000             0.000           222.195            18.806            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.264             0.264             0.000             0.000           221.931            18.542            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.226             0.226             0.000             0.000           221.705            18.316            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.226             0.226             0.000             0.000           221.580            18.190            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.226             0.226             0.000             0.000           221.354            17.965            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.264             0.264             0.000             0.000           221.090            17.701            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.264             0.264             0.000             0.000           220.927            17.538            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.264             0.264             0.000             0.000           220.663            17.274            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.301             0.301             0.000             0.000           220.362            16.973            69.619           133.770             0.000             0.000             0.000             0.000             0.000             0.000
           0.113             0.113             0.000             0.000           220.403            17.014            69.619           133.770             0.246             0.056             0.191             0.017             0.013             0.004
           0.226             0.226             0.000             0.000           220.377            16.988            69.619           133.770             0.000             0.000             0.000             0.019             0.016             0.004
           0.264             0.264             0.000             0.000           220.113            16.724            69.619           133.770             0.000             0.000             0.000             0.014             0.010             0.004
