       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           0.186             0.186             0.000             0.000           247.973            27.239            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.224             0.224             0.000             0.000           247.749            27.015            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.261             0.261             0.000             0.000           247.488            26.754            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.261             0.261             0.000             0.000           247.227            26.493            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.298             0.298             0.000             0.000           246.929            26.195            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.261             0.261             0.000             0.000           246.668            25.934            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.224             0.224             0.000             0.000           246.444            25.710            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.224             0.224             0.000             0.000           246.320            25.586            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.224             0.224             0.000             0.000           246.096            25.362            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.261             0.261             0.000             0.000           245.835            25.101            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.261             0.261             0.000             0.000           245.674            24.940            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.261             0.261             0.000             0.000           245.413            24.679            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.298             0.298             0.000             0.000           245.115            24.381            95.170           125.564             0.000             0.000             0.000             0.000             0.000             0.000
           0.112             0.112             0.000             0.000           245.161            24.427            95.170           125.564             0.241             0.035             0.206             0.023             0.008             0.015
           0.224             0.224             0.000             0.000           245.138            24.403            95.170           125.564             0.000             0.000             0.000             0.023             0.010             0.014
           0.261             0.261             0.000             0.000           244.876            24.142            95.170           125.564             0.000             0.000             0.000             0.019             0.006             0.013
           0.298             0.298             0.000             0.000           244.578            23.844            95.170           125.564             0.000             0.000             0.000             0.016             0.004             0.012
